name,lattitude,longitude
New York,40.712776,-74.005974
Los Angeles,34.052235,-118.243683
Chicago,41.878114,-87.629798
Houston,29.760427,-95.369803
Phoenix,33.448376,-112.074036
Philadelphia,39.952584,-75.165222
San Antonio,29.424122,-98.493628
San Diego,32.715736,-117.161087
Dallas,32.776665,-96.796989
San Jose,37.338207,-121.88633
Austin,30.267153,-97.743057
Jacksonville,30.332184,-81.655647
Fort Worth,32.755489,-97.330765
Columbus,39.961178,-82.998795
San Francisco,37.774929,-122.419418